episode,consensus_reached,average_trust,polarization_score,episode_reward,time_to_consensus,n_rounds,duration,timestamp
0,False,0.6924998164176941,0.045460592955350876,28.34624993801117,,10,0.0,2026-05-29T20:31:36.015325+00:00
1,False,0.5949999094009399,0.15062829852104187,6.29749995470047,,10,0.0,2026-05-29T20:31:36.047115+00:00
2,False,0.6724998354911804,0.04784230515360832,24.33624991774559,,10,0.0,2026-05-29T20:31:36.078116+00:00
3,False,0.679999828338623,0.15923428535461426,26.33999991416931,,10,0.0,2026-05-29T20:31:36.109903+00:00
4,True,0.7124997973442078,0.02160252258181572,39.956249898672105,23,7,0.0,2026-05-29T20:31:36.136423+00:00
5,False,0.7124997973442078,0.11813367903232574,34.356249898672104,,10,0.0,2026-05-29T20:31:36.169797+00:00
6,False,0.7249997854232788,0.05099024251103401,36.36249986290932,,10,0.0,2026-05-29T20:31:36.204968+00:00
7,False,0.7299997806549072,0.032659903168678284,36.364999890327454,,10,0.0,2026-05-29T20:31:36.236479+00:00
8,False,0.607499897480011,0.03559022769331932,8.303749948740005,,10,0.0,2026-05-29T20:31:36.266678+00:00
9,False,0.6274998784065247,0.12675437331199646,16.313749939203262,,10,0.0,2026-05-29T20:31:36.300911+00:00
10,False,0.6874998311201731,0.11085525155067444,26.343749910593033,,10,0.0,2026-05-29T20:31:36.344692+00:00
11,True,0.7374997735023499,0.01247219555079937,41.56874988675118,28,9,0.0,2026-05-29T20:31:36.378167+00:00
12,True,0.7224997878074646,0.054365042597055435,43.76124989390373,26,8,0.0,2026-05-29T20:31:36.411923+00:00
13,False,0.7474997639656067,0.07788883149623871,38.3737498819828,,10,0.0,2026-05-29T20:31:36.442437+00:00
14,True,0.6724998454252878,0.004714012611657381,37.93624991774559,23,7,0.0,2026-05-29T20:31:36.469719+00:00
15,False,0.7424997687339783,0.11145508289337158,42.37124988436699,,10,0.0,2026-05-29T20:31:36.505216+00:00
16,True,0.6974998116493225,0.004714096896350384,39.548749905824664,27,9,0.0,2026-05-29T20:31:36.539768+00:00
17,True,0.7599997520446777,0.07408701628446579,47.57999987602234,29,9,0.0,2026-05-29T20:31:36.571097+00:00
18,False,0.7224997878074646,0.06944224238395691,40.36124989390373,,10,0.0,2026-05-29T20:31:36.600956+00:00
19,False,0.7424997687339783,0.10624925047159195,42.37124991416931,,10,0.0,2026-05-29T20:31:36.635333+00:00
20,True,0.679999828338623,0.004714012611657381,38.33999991416931,17,5,0.0,2026-05-29T20:31:36.665039+00:00
21,False,0.7499997615814209,0.03399345651268959,40.37499988079071,,10,0.0,2026-05-29T20:31:36.696994+00:00
22,True,0.7049998044967651,0.02867444045841694,43.55249993205071,29,9,0.0,2026-05-29T20:31:36.734466+00:00
23,True,0.7174997925758362,0.061282601207494736,45.95874989628792,23,7,0.0,2026-05-29T20:31:36.767053+00:00
24,True,0.6399998664855957,0.020548049360513687,34.5199999332428,14,4,0.0,2026-05-29T20:31:36.791552+00:00
25,False,0.7249997854232788,0.123558409512043,42.36249992251396,,10,0.0,2026-05-29T20:31:36.822256+00:00
26,True,0.7199997901916504,0.05715485289692879,43.759999895095824,26,8,0.0,2026-05-29T20:31:36.849763+00:00
27,True,0.7249997854232788,0.06798694282770157,47.562499922513965,27,9,0.0,2026-05-29T20:31:36.880188+00:00
28,True,0.7024998068809509,0.03299831226468086,41.95124990344048,21,7,0.0,2026-05-29T20:31:36.909566+00:00
29,True,0.6724998354911804,0.03681790828704834,38.13624991774559,19,6,0.0,2026-05-29T20:31:36.935907+00:00
30,True,0.6499998569488525,0.02867441624403,34.324999928474426,17,5,0.0,2026-05-29T20:31:36.973266+00:00
31,False,0.6824998259544373,0.124721959233284,34.34124991297722,,10,0.0,2026-05-29T20:31:37.006779+00:00
32,True,0.7424997687339783,0.06976150721311569,51.37124991416931,30,10,0.0,2026-05-29T20:31:37.041670+00:00
33,True,0.6599998474121094,0.03299833834171295,37.929999923706056,21,7,0.0,2026-05-29T20:31:37.066226+00:00
34,True,0.6899998188018799,0.01247220579534769,40.14499990940094,18,6,0.0,2026-05-29T20:31:37.088226+00:00
35,True,0.667499840259552,0.037712354212999344,37.733749920129775,24,8,0.0,2026-05-29T20:31:37.117224+00:00
36,True,0.6749998331069946,0.014142122119665146,40.13749994635582,18,6,0.0,2026-05-29T20:31:37.140228+00:00
37,True,0.6449998617172241,0.014142122119665146,34.32249993085861,15,5,0.0,2026-05-29T20:31:37.162231+00:00
38,True,0.7124997973442078,0.06847552210092545,43.7562498986721,24,8,0.0,2026-05-29T20:31:37.192618+00:00
39,True,0.6474998593330383,0.012472184374928474,33.92374992966652,21,7,0.0,2026-05-29T20:31:37.216620+00:00
40,True,0.6724998354911804,0.02867444045841694,38.13624991774559,20,6,0.0,2026-05-29T20:31:37.252931+00:00
41,True,0.6399998664855957,0.020548051223158836,34.3199999332428,17,5,0.0,2026-05-29T20:31:37.277929+00:00
42,True,0.6649998426437378,0.004714096896350384,38.33249992132187,16,5,0.0,2026-05-29T20:31:37.301197+00:00
43,True,0.6324998736381531,0.023570232093334198,32.31624993681908,16,5,0.0,2026-05-29T20:31:37.323559+00:00
44,True,0.6524998545646667,0.012472184374928474,34.32624992728233,16,5,0.0,2026-05-29T20:31:37.347855+00:00
45,True,0.619999885559082,0.0,30.50999994277954,12,4,0.0,2026-05-29T20:31:37.368643+00:00
46,True,0.679999828338623,0.020548049360513687,38.13999991416931,20,6,0.0,2026-05-29T20:31:37.400061+00:00
47,True,0.6749998331069946,0.02160247601568699,38.13749994635582,18,6,0.0,2026-05-29T20:31:37.429491+00:00
48,True,0.6624998450279236,0.03299831226468086,36.33124992251396,17,5,0.0,2026-05-29T20:31:37.452070+00:00
49,True,0.6474998593330383,0.014142122119665146,34.32374992966652,17,5,0.0,2026-05-29T20:31:37.476934+00:00
