episode,consensus_reached,average_trust,polarization_score,episode_reward,time_to_consensus,n_rounds,duration,timestamp
0,False,0.6174998879432678,0.061282578855752945,14.308749943971634,,10,0.0,2026-05-29T20:31:14.999116+00:00
1,False,0.4975000520547231,0.09273618459701538,-11.751249969005585,,10,0.0,2026-05-29T20:31:15.006117+00:00
2,False,0.5799999634424845,0.07118047773838043,6.28999999165535,,10,0.0,2026-05-29T20:31:15.013127+00:00
3,False,0.7049998044967651,0.024494849145412445,30.35249987244606,,10,0.0,2026-05-29T20:31:15.119523+00:00
4,False,0.5574999650319418,0.08379868417978287,-0.7212500274181366,,10,0.0,2026-05-29T20:31:15.205320+00:00
5,False,0.5849999189376831,0.012472179718315601,4.2924999594688416,,10,0.0,2026-05-29T20:31:15.287246+00:00
6,False,0.6474998593330383,0.041096046566963196,20.32374992966652,,10,0.0,2026-05-29T20:31:15.369854+00:00
7,False,0.6049998998641968,0.0664997324347496,8.302499949932098,,10,0.0,2026-05-29T20:31:15.459094+00:00
8,False,0.5974999368190765,0.05354124307632446,8.2987499833107,,10,0.0,2026-05-29T20:31:15.557991+00:00
9,False,0.5524999499320984,0.08524472266435623,-1.7237500250339508,,10,0.0,2026-05-29T20:31:15.648675+00:00
10,False,0.5849999189376831,0.023570232093334198,6.2924999594688416,,10,0.0,2026-05-29T20:31:15.771073+00:00
11,False,0.6299998760223389,0.12498889863491058,16.31499993801117,,10,0.0,2026-05-29T20:31:15.871919+00:00
12,False,0.6974998116493225,0.08981464058160782,32.34874990582466,,10,0.0,2026-05-29T20:31:15.970056+00:00
13,False,0.5649999380111694,0.045460592955350876,2.2824999690055847,,10,0.0,2026-05-29T20:31:16.065581+00:00
14,False,0.7124997973442078,0.09092120081186295,30.356249898672104,,10,0.0,2026-05-29T20:31:16.153107+00:00
15,False,0.5974999070167542,0.14165684580802917,8.298749953508377,,10,0.0,2026-05-29T20:31:16.235418+00:00
16,False,0.6649998426437378,0.046427998691797256,20.33249992132187,,10,0.0,2026-05-29T20:31:16.333261+00:00
17,False,0.5924999117851257,0.07257182896137238,6.296249955892563,,10,0.0,2026-05-29T20:31:16.425716+00:00
18,False,0.7099997997283936,0.09392671287059784,32.3549998998642,,10,0.0,2026-05-29T20:31:16.506031+00:00
19,False,0.6374998688697815,0.06342097371816635,18.31874993443489,,10,0.0,2026-05-29T20:31:16.592366+00:00
20,False,0.6099999248981476,0.05185450613498688,13.304999947547913,,10,0.0,2026-05-29T20:31:16.687690+00:00
21,False,0.5974999169508616,0.11860296130180359,10.298749953508377,,10,0.0,2026-05-29T20:31:16.795143+00:00
22,False,0.6324998736381531,0.08602330088615417,18.316249936819077,,10,0.0,2026-05-29T20:31:16.896679+00:00
23,False,0.6999998092651367,0.07408701628446579,30.34999990463257,,10,0.0,2026-05-29T20:31:16.996174+00:00
24,False,0.6399998664855957,0.016329964622855186,16.319999933242798,,10,0.0,2026-05-29T20:31:17.096154+00:00
25,False,0.6299998859564463,0.1782008707523346,14.31499993801117,,10,0.0,2026-05-29T20:31:17.177594+00:00
26,False,0.5924999117851257,0.12192899733781815,10.296249955892563,,10,0.0,2026-05-29T20:31:17.261644+00:00
27,False,0.6424998641014099,0.040276844054460526,18.321249932050705,,10,0.0,2026-05-29T20:31:17.347608+00:00
28,False,0.6149998903274536,0.14839883148670197,14.307499945163727,,10,0.0,2026-05-29T20:31:17.437705+00:00
29,False,0.6999998191992441,0.11897709965705872,28.34999990463257,,10,0.0,2026-05-29T20:31:17.528961+00:00
30,True,0.6749998331069946,0.009428082033991814,35.93749994635582,21,7,0.0,2026-05-29T20:31:17.602447+00:00
31,False,0.6499998569488525,0.04642799124121666,20.324999928474426,,10,0.0,2026-05-29T20:31:17.688030+00:00
32,False,0.6174998879432678,0.07071064412593842,12.308749943971634,,10,0.0,2026-05-29T20:31:17.786894+00:00
33,False,0.6999998092651367,0.03741658106446266,26.34999990463257,,10,0.0,2026-05-29T20:31:17.876403+00:00
34,False,0.6599998474121094,0.049216028302907944,22.329999923706055,,10,0.0,2026-05-29T20:31:17.970327+00:00
35,False,0.727499783039093,0.09741091728210449,30.363749891519547,,10,0.0,2026-05-29T20:31:18.061945+00:00
36,False,0.6449998716513315,0.09463373571634293,22.322499930858612,,10,0.0,2026-05-29T20:31:18.154295+00:00
37,False,0.6899998188018799,0.17326924204826355,26.34499990940094,,10,0.0,2026-05-29T20:31:18.247138+00:00
38,False,0.6999998092651367,0.11115548014640808,30.34999990463257,,10,0.0,2026-05-29T20:31:18.341488+00:00
39,False,0.6174998879432678,0.09626351296901703,12.308749943971634,,10,0.0,2026-05-29T20:31:18.435093+00:00
40,False,0.5874999264876047,0.07118052989244461,6.293749958276749,,10,0.0,2026-05-29T20:31:18.527871+00:00
41,False,0.5699999332427979,0.1574801504611969,4.284999966621399,,10,0.0,2026-05-29T20:31:18.618176+00:00
42,False,0.5549999475479126,0.1396026462316513,0.2774999737739563,,10,0.0,2026-05-29T20:31:18.713170+00:00
