episode,consensus_reached,average_trust,polarization_score,episode_reward,time_to_consensus,n_rounds,duration,timestamp
0,False,0.6574998497962952,0.058878399431705475,24.328749924898148,,10,0.0,2026-05-29T20:30:55.679746+00:00
1,False,0.5724999308586121,0.05906680226325989,0.28624996542930603,,10,0.0,2026-05-29T20:30:55.690748+00:00
2,False,0.6274998784065247,0.13670729100704193,14.313749939203262,,10,0.0,2026-05-29T20:30:55.702102+00:00
3,False,0.6524998545646667,0.060184888541698456,20.326249927282333,,10,0.0,2026-05-29T20:30:55.713102+00:00
4,False,0.6124998927116394,0.08730532974004745,14.30624994635582,,10,0.0,2026-05-29T20:30:55.724101+00:00
5,False,0.6874998211860657,0.04027685523033142,30.343749910593033,,10,0.0,2026-05-29T20:30:55.735111+00:00
6,False,0.6149998903274536,0.04496913403272629,12.30749997496605,,10,0.0,2026-05-29T20:30:55.747183+00:00
7,False,0.6449998617172241,0.029439188539981842,16.322499930858612,,10,0.0,2026-05-29T20:30:55.757214+00:00
8,False,0.6099998950958252,0.07586541026830673,12.304999947547913,,10,0.0,2026-05-29T20:30:55.769214+00:00
9,False,0.6174998879432678,0.004714041016995907,10.308749943971634,,10,0.0,2026-05-29T20:30:55.779213+00:00
10,False,0.559999942779541,0.10338705778121948,-1.7200000286102295,,10,0.0,2026-05-29T20:30:55.800530+00:00
11,False,0.654999852180481,0.053541261702775955,20.32749992609024,,10,0.0,2026-05-29T20:30:55.811530+00:00
12,False,0.7074998021125793,0.058878399431705475,30.35374990105629,,10,0.0,2026-05-29T20:30:55.823202+00:00
13,False,0.6699998378753662,0.08956687152385712,22.334999918937683,,10,0.0,2026-05-29T20:30:55.833785+00:00
14,False,0.6149998903274536,0.09273620694875717,8.307499945163727,,10,0.0,2026-05-29T20:30:55.844979+00:00
15,False,0.5949999094009399,0.16519349813461304,8.297499924898148,,10,0.0,2026-05-29T20:30:55.854979+00:00
16,False,0.607499897480011,0.06649977713823318,12.303749948740005,,10,0.0,2026-05-29T20:30:55.866486+00:00
17,False,0.6849998335043589,0.02160247601568699,26.342499941587448,,10,0.0,2026-05-29T20:30:55.876486+00:00
18,False,0.5799999237060547,0.037416569888591766,4.289999961853027,,10,0.0,2026-05-29T20:30:55.887555+00:00
19,False,0.5874999165534973,0.09977752715349197,6.293749958276749,,10,0.0,2026-05-29T20:30:55.898555+00:00
20,False,0.6649998426437378,0.11897710710763931,20.33249992132187,,10,0.0,2026-05-29T20:30:55.911490+00:00
21,False,0.6274998784065247,0.13199330866336823,10.313749939203262,,10,0.0,2026-05-29T20:30:55.922490+00:00
22,False,0.6474998593330383,0.11430950462818146,20.32374992966652,,10,0.0,2026-05-29T20:30:55.933490+00:00
